Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat A (Cars up to 1600cc and 97kW),1851,6200,2788,1851
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat B (Cars above 1600cc or 97kW),1102,2656,1318,1102
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat D (Motorcycles),414,1059,538,412
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat C (Goods vehicles and buses),264,4001,373,260
December 2008 Second Open Bidding Exercise,17/12/2008,2008,Cat E (Open),759,6509,1138,754
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat A (Cars up to 1600cc and 97kW),1840,7721,3149,1840
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat B (Cars above 1600cc or 97kW),1100,6501,1411,1099
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat D (Motorcycles),414,1102,640,414
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat C (Goods vehicles and buses),267,5212,374,257
December 2008 First Open Bidding Exercise,3/12/2008,2008,Cat E (Open),761,7589,1337,747
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat A (Cars up to 1600cc and 97kW),1851,2,1852,1840
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat B (Cars above 1600cc or 97kW),1100,4889,1181,1097
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat D (Motorcycles),410,1012,512,405
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat C (Goods vehicles and buses),282,6189,368,282
November 2008 Second Open Bidding Exercise,19/11/2008,2008,Cat E (Open),757,6889,1027,751
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat A (Cars up to 1600cc and 97kW),1848,10455,2049,1848
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat B (Cars above 1600cc or 97kW),1099,8301,1216,1098
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat D (Motorcycles),432,1509,598,427
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat C (Goods vehicles and buses),269,8889,353,266
November 2008 First Open Bidding Exercise,5/11/2008,2008,Cat E (Open),760,10490,1061,752
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat A (Cars up to 1600cc and 97kW),1846,10989,2149,1835
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat B (Cars above 1600cc or 97kW),1100,7589,1302,1099
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat D (Motorcycles),420,1609,576,419
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat C (Goods vehicles and buses),270,11503,390,252
October 2008 Second Open Bidding Exercise,22/10/2008,2008,Cat E (Open),769,12001,1100,765
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat A (Cars up to 1600cc and 97kW),1856,13801,2320,1848
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat B (Cars above 1600cc or 97kW),1132,14400,1338,1132
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat D (Motorcycles),410,1889,695,387
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat C (Goods vehicles and buses),266,15899,318,261
October 2008 First Open Bidding Exercise,8/10/2008,2008,Cat E (Open),754,15058,1144,747
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat A (Cars up to 1600cc and 97kW),2035,14100,2765,2029
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat B (Cars above 1600cc or 97kW),1127,13301,1288,1126
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat D (Motorcycles),446,1554,605,435
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat C (Goods vehicles and buses),385,14890,489,379
September 2008 Second Open Bidding Exercise,17/09/2008,2008,Cat E (Open),880,14889,1408,864
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat A (Cars up to 1600cc and 97kW),2038,9501,2172,2022
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat B (Cars above 1600cc or 97kW),1099,13389,1195,1066
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat D (Motorcycles),447,1452,584,446
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat C (Goods vehicles and buses),385,13889,466,383
September 2008 First Open Bidding Exercise,3/9/2008,2008,Cat E (Open),880,14300,1503,879
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat A (Cars up to 1600cc and 97kW),2036,13289,2318,2036
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat B (Cars above 1600cc or 97kW),1099,13890,1362,1071
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat D (Motorcycles),446,1310,548,445
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat C (Goods vehicles and buses),378,12989,492,370
August 2008 Second Open Bidding Exercise,20/08/2008,2008,Cat E (Open),883,14001,1318,878
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat A (Cars up to 1600cc and 97kW),2035,12501,2267,2032
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat B (Cars above 1600cc or 97kW),1104,12889,1253,1104
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat D (Motorcycles),452,1413,684,450
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat C (Goods vehicles and buses),384,12589,522,376
August 2008 First Open Bidding Exercise,6/8/2008,2008,Cat E (Open),884,14101,1229,879
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat A (Cars up to 1600cc and 97kW),2048,14101,2464,2047
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat B (Cars above 1600cc or 97kW),1099,14235,1307,1099
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat D (Motorcycles),475,1489,600,474
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat C (Goods vehicles and buses),386,12659,497,385
July 2008 Second Open Bidding Exercise,23/07/2008,2008,Cat E (Open),880,14858,1178,872
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat A (Cars up to 1600cc and 97kW),2036,14685,2463,2036
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat B (Cars above 1600cc or 97kW),1099,15501,1383,1094
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat D (Motorcycles),448,1551,707,441
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat C (Goods vehicles and buses),377,12959,535,370
July 2008 First Open Bidding Exercise,9/7/2008,2008,Cat E (Open),875,15661,1258,866
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat A (Cars up to 1600cc and 97kW),2037,14101,2319,2024
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat B (Cars above 1600cc or 97kW),1099,14689,1280,1099
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat D (Motorcycles),447,1102,631,417
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat C (Goods vehicles and buses),383,12002,550,374
June 2008 Second Open Bidding Exercise,18/06/2008,2008,Cat E (Open),878,15459,1352,873
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat A (Cars up to 1600cc and 97kW),2038,14590,2500,2038
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat B (Cars above 1600cc or 97kW),1125,14640,1282,1125
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat D (Motorcycles),454,1083,708,451
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat C (Goods vehicles and buses),377,13501,501,377
June 2008 First Open Bidding Exercise,4/6/2008,2008,Cat E (Open),882,16301,1221,882
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat A (Cars up to 1600cc and 97kW),2063,15701,2824,2062
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat B (Cars above 1600cc or 97kW),1100,17113,1396,1100
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat D (Motorcycles),484,1109,762,482
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat C (Goods vehicles and buses),379,14756,531,373
May 2008 Second Open Bidding Exercise,22/05/2008,2008,Cat E (Open),876,16700,1345,873
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat A (Cars up to 1600cc and 97kW),2053,11009,2211,2051
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat B (Cars above 1600cc or 97kW),1101,15889,1230,1075
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat D (Motorcycles),447,1289,569,438
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat C (Goods vehicles and buses),384,15889,493,384
May 2008 First Open Bidding Exercise,7/5/2008,2008,Cat E (Open),886,16500,1416,879
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat A (Cars up to 1600cc and 97kW),2036,15600,2197,2009
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat B (Cars above 1600cc or 97kW),1119,17510,1324,1118
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat D (Motorcycles),455,1152,545,417
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat C (Goods vehicles and buses),379,18151,481,377
April 2008 Second Open Bidding Exercise,23/04/2008,2008,Cat E (Open),877,18451,1266,876
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat A (Cars up to 1600cc and 97kW),2043,16930,2570,2026
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat B (Cars above 1600cc or 97kW),1132,19501,1382,1130
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat D (Motorcycles),449,1012,586,448
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat C (Goods vehicles and buses),383,18900,443,376
April 2008 First Open Bidding Exercise,9/4/2008,2008,Cat E (Open),881,19389,1348,870
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat A (Cars up to 1600cc and 97kW),2161,15389,2474,2161
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat B (Cars above 1600cc or 97kW),1130,19001,1387,1110
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat D (Motorcycles),439,901,662,430
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat C (Goods vehicles and buses),349,17610,453,347
March 2008 Second Open Bidding Exercise,19/03/2008,2008,Cat E (Open),1088,18854,1713,1086
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat A (Cars up to 1600cc and 97kW),2171,14351,2727,2164
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat B (Cars above 1600cc or 97kW),1125,18000,1499,1092
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat D (Motorcycles),442,959,612,439
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat C (Goods vehicles and buses),352,16310,550,347
March 2008 First Open Bidding Exercise,5/3/2008,2008,Cat E (Open),1088,18670,1929,1082
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat A (Cars up to 1600cc and 97kW),2291,12856,2923,2288
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat B (Cars above 1600cc or 97kW),1125,15510,1632,1120
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat D (Motorcycles),469,951,681,469
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat C (Goods vehicles and buses),349,15002,478,345
February 2008 Second Open Bidding Exercise,20/02/2008,2008,Cat E (Open),1106,15110,1692,1105
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat A (Cars up to 1600cc and 97kW),2167,12002,3005,2155
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat B (Cars above 1600cc or 97kW),1133,13209,1454,1133
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat D (Motorcycles),441,999,648,438
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat C (Goods vehicles and buses),357,13001,551,350
February 2008 First Open Bidding Exercise,5/2/2008,2008,Cat E (Open),1093,13301,1786,1092
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat A (Cars up to 1600cc and 97kW),2231,12001,2611,2098
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat B (Cars above 1600cc or 97kW),1144,13289,1328,1144
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat D (Motorcycles),443,1012,550,413
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat C (Goods vehicles and buses),349,12501,424,345
January 2008 Second Open Bidding Exercise,23/01/2008,2008,Cat E (Open),1169,13801,1829,1150
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat A (Cars up to 1600cc and 97kW),2162,14052,2553,2154
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat B (Cars above 1600cc or 97kW),1172,15989,1556,1164
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat D (Motorcycles),475,1101,527,473
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat C (Goods vehicles and buses),352,13000,446,340
January 2008 First Open Bidding Exercise,9/1/2008,2008,Cat E (Open),1094,15601,1658,1088
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat A (Cars up to 1600cc and 97kW),2668,11704,3686,2663
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat B (Cars above 1600cc or 97kW),1271,13001,1460,1268
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat C (Goods vehicles and buses),509,1,338,338
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat D (Motorcycles),459,1214,759,370
January 2007 First Open Bidding Exercise,1/1/2007,2007,Cat E (Open),1304,13301,1863,1296
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat A (Cars up to 1600cc and 97kW),2671,11881,3155,2670
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat B (Cars above 1600cc or 97kW),1301,12000,1446,1298
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat C (Goods vehicles and buses),525,1,367,367
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat D (Motorcycles),453,1189,690,417
January 2007 Second Open Bidding Exercise,15/01/2007,2007,Cat E (Open),1369,12599,1832,1350
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat A (Cars up to 1600cc and 97kW),2673,11489,3005,2654
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat B (Cars above 1600cc or 97kW),1272,12152,1449,1267
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat C (Goods vehicles and buses),679,1,506,506
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat D (Motorcycles),536,1001,639,512
February 2007 First Open Bidding Exercise,1/2/2007,2007,Cat E (Open),1290,12721,1784,1290
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat A (Cars up to 1600cc and 97kW),2670,5200,2823,2670
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat B (Cars above 1600cc or 97kW),1272,6002,1382,1269
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat C (Goods vehicles and buses),665,1,337,337
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat D (Motorcycles),483,901,626,479
February 2007 Second Open Bidding Exercise,15/02/2007,2007,Cat E (Open),1301,11804,1686,1293
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat A (Cars up to 1600cc and 97kW),2687,12602,5296,2680
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat B (Cars above 1600cc or 97kW),1274,13502,2248,1250
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat C (Goods vehicles and buses),681,1,647,647
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat D (Motorcycles),471,964,777,471
March 2007 First Open Bidding Exercise,1/3/2007,2007,Cat E (Open),1282,13201,2159,1277
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat A (Cars up to 1600cc and 97kW),2669,13504,4752,2659
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat B (Cars above 1600cc or 97kW),1272,14652,1840,1266
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat C (Goods vehicles and buses),835,1091,1022,835
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat D (Motorcycles),450,1001,554,447
March 2007 Second Open Bidding Exercise,15/03/2007,2007,Cat E (Open),1289,14502,2217,1272
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat A (Cars up to 1600cc and 97kW),2165,14000,3691,2161
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat B (Cars above 1600cc or 97kW),1149,14889,1720,1149
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat C (Goods vehicles and buses),479,2600,631,479
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat D (Motorcycles),478,1013,596,465
April 2007 First Open Bidding Exercise,1/4/2007,2007,Cat E (Open),1092,15315,1867,1090
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat A (Cars up to 1600cc and 97kW),2168,14601,3327,2168
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat B (Cars above 1600cc or 97kW),1130,15989,1587,1127
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat C (Goods vehicles and buses),444,5289,700,442
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat D (Motorcycles),480,1184,768,478
April 2007 Second Open Bidding Exercise,15/04/2007,2007,Cat E (Open),1103,16101,1847,1098
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat A (Cars up to 1600cc and 97kW),2163,16159,3449,2163
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat B (Cars above 1600cc or 97kW),1125,17879,1811,1118
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat C (Goods vehicles and buses),445,8300,621,444
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat D (Motorcycles),491,1345,772,487
May 2007 First Open Bidding Exercise,1/5/2007,2007,Cat E (Open),1089,17856,2033,1082
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat A (Cars up to 1600cc and 97kW),2158,17010,2825,2147
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat B (Cars above 1600cc or 97kW),1127,18900,1679,1105
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat C (Goods vehicles and buses),446,10000,661,443
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat D (Motorcycles),479,1352,750,438
May 2007 Second Open Bidding Exercise,15/05/2007,2007,Cat E (Open),1091,19510,1897,1088
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat A (Cars up to 1600cc and 97kW),2159,16181,2441,2159
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat B (Cars above 1600cc or 97kW),1132,19802,1679,1114
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat C (Goods vehicles and buses),446,6889,666,444
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat D (Motorcycles),482,1252,585,422
June 2007 First Open Bidding Exercise,1/6/2007,2007,Cat E (Open),1094,19351,1760,1091
